Protein,Gene,Patient,Measurement 1,Measurement 2,Measurement 3,Mean,Std,CV
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,31,2875500000.0,2775500000.0,2890500000.0,2847166666.67,51044642.77,0.0179
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,32,2243900000.0,2471200000.0,2276200000.0,2330433333.33,100406717.35,0.0431
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,33,1435600000.0,1680700000.0,1493300000.0,1536533333.33,104627413.02,0.0681
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,39,1867200000.0,1538700000.0,1831000000.0,1745633333.33,147068381.68,0.0842
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,89,2034200000.0,1826300000.0,2026400000.0,1962300000.0,96219228.85,0.049
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,90,2188400000.0,2170800000.0,1758400000.0,2039200000.0,198685547.2,0.0974
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,103,1635500000.0,1789400000.0,1630800000.0,1685233333.33,73681944.12,0.0437
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,99,1416200000.0,1562700000.0,1289000000.0,1422633333.33,111830119.18,0.0786
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,73,1303500000.0,1228300000.0,1273500000.0,1268433333.33,30908610.81,0.0244
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,92,2426600000.0,1561400000.0,1491200000.0,1826400000.0,425372025.41,0.2329
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,54,1837100000.0,1495100000.0,2746100000.0,2026100000.0,527914765.85,0.2606
Ubiquitin-conjugating enzyme E2 L3; Ubiquitin-conjugating enzyme E2 L5,UBE2L3;UBE2L5,104,1253200000.0,1135500000.0,944960000.0,1111220000.0,127004234.05,0.1143
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,12,1565400000.0,2585400000.0,2240800000.0,2130533333.33,423650054.75,0.1988
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,21,2907900000.0,3130100000.0,2506400000.0,2848133333.33,258107811.24,0.0906
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,25,3170500000.0,3761600000.0,3099200000.0,3343766666.67,296883190.65,0.0888
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,27,4191000000.0,3105200000.0,4485800000.0,3927333333.33,593663301.51,0.1512
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,31,2492400000.0,2806600000.0,2833200000.0,2710733333.33,154766433.34,0.0571
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,32,2541100000.0,2938000000.0,2376600000.0,2618566666.67,235645642.63,0.09
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,33,3308900000.0,3800800000.0,3284400000.0,3464700000.0,237868969.53,0.0687
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,39,3239000000.0,3131800000.0,2961400000.0,3110733333.33,114304544.48,0.0367
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,89,2723400000.0,3220300000.0,2707500000.0,2883733333.33,238077079.02,0.0826
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,90,1856700000.0,2570600000.0,1688100000.0,2038466666.67,382518760.61,0.1877
