Protein IDs,Majority protein IDs,Protein names,Gene names,Patient Measurements,Patient CVs,Average CV,Patient Count
P02768,P02768, Serum albumin,ALB,"{'12': [599800000000.0, 523170000000.0, 476220000000.0], '21': [338680000000.0, 1330900000000.0, 728720000000.0], '25': [770390000000.0, 530360000000.0, 804890000000.0], '27': [177090000000.0, 101490000000.0, 300500000000.0], '31': [248990000000.0, 140080000000.0, 157430000000.0], '32': [99090000000.0, 111690000000.0, 160770000000.0], '33': [141240000000.0, 210810000000.0, 192460000000.0], '39': [271930000000.0, 251780000000.0, 191810000000.0], '89': [423500000000.0, 237040000000.0, 428900000000.0], '90': [370390000000.0, 234170000000.0, 198210000000.0], '103': [235190000000.0, 348050000000.0, 281670000000.0], '99': [116710000000.0, 157600000000.0, 124990000000.0], '73': [114700000000.0, 114450000000.0, 145820000000.0], '92': [391730000000.0, 220310000000.0, 207240000000.0], '54': [271530000000.0, 235010000000.0, 263090000000.0], '104': [310060000000.0, 392840000000.0, 398610000000.0]}","{'12': 0.0009554967232362543, '21': 0.005105448278278293, '25': 0.001739585615792254, '27': 0.004249323826586815, '31': 0.0026228274193235463, '32': 0.0021484319356410526, '33': 0.0016219852189223052, '39': 0.0014267445101651013, '89': 0.0024562562244577844, '90': 0.002771337159593992, '103': 0.001606399546856026, '99': 0.0013261321320734085, '73': 0.0011784453042514918, '92': 0.003078006811518924, '54': 0.0006085271242872363, '104': 0.001101710720883407}",0.2124791159491743,16
P25788,P25788, Proteasome subunit alpha type-3,PSMA3,"{'12': [1925600000.0, 1454900000.0, 1531600000.0], '21': [708620000.0, 1095400000.0, 1065300000.0], '25': [1358000000.0, 1119400000.0, 684630000.0], '27': [405640000.0, 201690000.0, 482350000.0], '31': [374770000.0, 395250000.0, 321810000.0], '32': [444080000.0, 520520000.0, 526210000.0], '33': [437880000.0, 839290000.0, 595040000.0], '39': [323350000.0, 248280000.0, 342220000.0], '89': [473990000.0, 866620000.0, 241900000.0], '90': [380390000.0, 568800000.0, 269740000.0], '103': [499750000.0, 525920000.0, 340300000.0], '99': [224930000.0, 296440000.0, 226960000.0], '73': [493260000.0, 596640000.0, 687470000.0], '92': [591320000.0, 868100000.0, 685340000.0], '54': [83772000.0, 97587000.0, 77580000.0], '104': [145290000.0, 626670000.0, 448280000.0]}","{'12': 0.0012593579740877913, '21': 0.0018366602023760941, '25': 0.0026447904070304408, '27': 0.003260744875709577, '31': 0.000850234626086424, '32': 0.0007535653391291601, '33': 0.0026464273024361857, '39': 0.0013319718437325323, '89': 0.004887792208459211, '90': 0.003038536596088823, '103': 0.0018016314548317302, '99': 0.001332647115169761, '73': 0.0013391876012629179, '92': 0.001607376094082451, '54': 0.0009689287097019733, '104': 0.004885224357496178}",0.2152817294230078,16
P47755,P47755, F-actin-capping protein subunit alpha-2,CAPZA2,"{'12': [742700000.0, 669200000.0, 572580000.0], '21': [388010000.0, 531350000.0, 601560000.0], '25': [357180000.0, 673900000.0, 482400000.0], '27': [225910000.0, 123420000.0, 131980000.0], '31': [183640000.0, 198020000.0, 228070000.0], '32': [190500000.0, 166400000.0, 205890000.0], '33': [159330000.0, 278500000.0, 153660000.0], '39': [175810000.0, 270050000.0, 207880000.0], '89': [318730000.0, 328660000.0, 180110000.0], '90': [204630000.0, 498820000.0, 97399000.0], '103': [266550000.0, 269910000.0, 236170000.0], '99': [84437000.0, 178060000.0, 120010000.0], '73': [356770000.0, 543840000.0, 522390000.0], '92': [369620000.0, 430640000.0, 424480000.0], '54': [158810000.0, 270650000.0, 226120000.0], '104': [122810000.0, 253160000.0, 232900000.0]}","{'12': 0.0010531423458948984, '21': 0.0017529337889507658, '25': 0.002581614719749462, '27': 0.0028938735217321943, '31': 0.0009107650766314139, '32': 0.0008663220770602859, '33': 0.0029194206773033725, '39': 0.0017953004569136437, '89': 0.002458292746486028, '90': 0.0063570312559654, '103': 0.000589234874117698, '99': 0.0030263644516894685, '73': 0.0017622583258684837, '92': 0.0006718660314540206, '54': 0.0021037757965478524, '104': 0.0028219147215273323}",0.216025692924327,16
Q13561,Q13561, Dynactin subunit 2,DCTN2,"{'12': [1218800000.0, 2193500000.0, 1235100000.0], '21': [651850000.0, 979000000.0, 776520000.0], '25': [748140000.0, 793790000.0, 708020000.0], '27': [347280000.0, 186140000.0, 165580000.0], '31': [639480000.0, 495280000.0, 399350000.0], '32': [489100000.0, 281460000.0, 251010000.0], '33': [202680000.0, 333790000.0, 395060000.0], '39': [352850000.0, 506940000.0, 421080000.0], '89': [526720000.0, 514160000.0, 401250000.0], '90': [366010000.0, 638620000.0, 238870000.0], '103': [453080000.0, 389510000.0, 579380000.0], '99': [183320000.0, 345760000.0, 145890000.0], '73': [865680000.0, 932180000.0, 705420000.0], '92': [592670000.0, 704670000.0, 742770000.0], '54': [268480000.0, 313430000.0, 414210000.0], '104': [165940000.0, 326880000.0, 258270000.0]}","{'12': 0.0029415455753140866, '21': 0.0016799879653099248, '25': 0.00046720647993152243, '27': 0.0034868204467453047, '31': 0.0019299267166634723, '32': 0.0031067612568800116, '33': 0.0025843094925335707, '39': 0.001476591929417034, '89': 0.0011736845917905193, '90': 0.004023166669603493, '103': 0.001664838092265247, '99': 0.0038558895293282695, '73': 0.001140611150226656, '92': 0.000936796401115803, '54': 0.0018350791822614048, '104': 0.0026338090051947686}",0.2183564030286318,16
P04792,P04792, Heat shock protein beta-1,HSPB1,"{'12': [32707000000.0, 37181000000.0, 23936000000.0], '21': [32988000000.0, 26468000000.0, 26361000000.0], '25': [32525000000.0, 34112000000.0, 19395000000.0], '27': [3570100000.0, 1877400000.0, 8092900000.0], '31': [10148000000.0, 14099000000.0, 4803400000.0], '32': [10184000000.0, 11092000000.0, 10543000000.0], '33': [5059400000.0, 8533000000.0, 8362000000.0], '39': [5907700000.0, 3407400000.0, 5044700000.0], '89': [14617000000.0, 8891700000.0, 12035000000.0], '90': [19970000000.0, 21940000000.0, 9578100000.0], '103': [10061000000.0, 10487000000.0, 10284000000.0], '99': [5863600000.0, 5255000000.0, 3842400000.0], '73': [16304000000.0, 16549000000.0, 12020000000.0], '92': [19062000000.0, 11158000000.0, 12233000000.0], '54': [7894600000.0, 8325900000.0, 12426000000.0], '104': [5342100000.0, 9622400000.0, 9573800000.0]}","{'12': 0.0017590224610085248, '21': 0.001083381669954369, '25': 0.0022998999659671333, '27': 0.005813009803469735, '31': 0.003933614101961704, '32': 0.00035203949012720305, '33': 0.002184560635209245, '39': 0.002166319139052684, '89': 0.001975949488293345, '90': 0.0031598111527347183, '103': 0.00016928287035703613, '99': 0.0016976793402490081, '73': 0.0013903576750668376, '92': 0.0024734813911896146, '54': 0.002138553784231908, '104': 0.0024529764623095543}",0.2190621214448913,16
Q9HC38,Q9HC38, Glyoxalase domain-containing protein 4,GLOD4,"{'12': [1052800000.0, 1402900000.0, 729060000.0], '21': [449050000.0, 951800000.0, 571070000.0], '25': [536130000.0, 761660000.0, 600860000.0], '27': [515880000.0, 330090000.0, 325190000.0], '31': [244230000.0, 172020000.0, 168380000.0], '32': [206100000.0, 184460000.0, 180780000.0], '33': [186610000.0, 424190000.0, 292430000.0], '39': [265850000.0, 260970000.0, 246550000.0], '89': [717600000.0, 972000000.0, 466490000.0], '90': [371090000.0, 348960000.0, 180600000.0], '103': [608070000.0, 339790000.0, 405410000.0], '99': [143290000.0, 378380000.0, 183500000.0], '73': [516970000.0, 1032700000.0, 697550000.0], '92': [1153800000.0, 1150500000.0, 1091400000.0], '54': [217990000.0, 315820000.0, 332290000.0], '104': [353270000.0, 699250000.0, 724250000.0]}","{'12': 0.00259200864685987, '21': 0.0032574387216492886, '25': 0.001498156710331637, '27': 0.0022736363601721958, '31': 0.0017924003804312102, '32': 0.0005865196444930208, '33': 0.0032278870491234944, '39': 0.00031784669657770095, '89': 0.00287151812158277, '90': 0.0028333835366560374, '103': 0.0025313916735694698, '99': 0.004367703509298596, '73': 0.0028525211243906508, '92': 0.00025328647393239894, '54': 0.001747474907969073, '104': 0.0028585075845315123}",0.2241355071348058,16
P14618,P14618, Pyruvate kinase PKM,PKM,"{'12': [41286000000.0, 30565000000.0, 22356000000.0], '21': [36182000000.0, 30938000000.0, 25778000000.0], '25': [12320000000.0, 14605000000.0, 14550000000.0], '27': [8004400000.0, 3456500000.0, 12186000000.0], '31': [17936000000.0, 20138000000.0, 17016000000.0], '32': [19763000000.0, 16067000000.0, 19073000000.0], '33': [9725200000.0, 18050000000.0, 11565000000.0], '39': [9357800000.0, 10233000000.0, 8477200000.0], '89': [13669000000.0, 16121000000.0, 7345800000.0], '90': [10883000000.0, 44158000000.0, 7021300000.0], '103': [7121400000.0, 18254000000.0, 8870300000.0], '99': [5004800000.0, 7367600000.0, 5254700000.0], '73': [15381000000.0, 15118000000.0, 14612000000.0], '92': [13846000000.0, 13774000000.0, 11820000000.0], '54': [4285800000.0, 6012800000.0, 5444500000.0], '104': [5980500000.0, 10947000000.0, 9902300000.0]}","{'12': 0.0024682203863637254, '21': 0.0013716532194818663, '25': 0.0007699331328644214, '27': 0.004522600154474995, '31': 0.000713313164440043, '32': 0.0008767804487647138, '33': 0.002722860370870647, '39': 0.0007661430936449115, '89': 0.0029864725750623072, '90': 0.008058471369590514, '103': 0.004282140458830163, '99': 0.0018037924014287587, '73': 0.00021222640483714282, '92': 0.0007139113015707025, '54': 0.0013694510817914213, '104': 0.002390585821846205}",0.2251784711616408,16
P0DMV9;P0DMV8,P0DMV9;P0DMV8, Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,"{'12': [14818000000.0, 20965000000.0, 12919000000.0], '21': [6887100000.0, 15654000000.0, 13789000000.0], '25': [25322000000.0, 18984000000.0, 19215000000.0], '27': [8322300000.0, 5126800000.0, 15192000000.0], '31': [2600700000.0, 3074100000.0, 2043000000.0], '32': [3281000000.0, 2298900000.0, 2073400000.0], '33': [3630200000.0, 5126900000.0, 4045900000.0], '39': [3534300000.0, 3342200000.0, 4638200000.0], '89': [9879100000.0, 11984000000.0, 7032600000.0], '90': [6295100000.0, 7496300000.0, 2946500000.0], '103': [7746500000.0, 5287700000.0, 5567200000.0], '99': [3499000000.0, 5351000000.0, 4918900000.0], '73': [6513300000.0, 17150000000.0, 12176000000.0], '92': [10488000000.0, 15924000000.0, 15524000000.0], '54': [3188000000.0, 3859700000.0, 6545600000.0], '104': [4383500000.0, 5195000000.0, 5325800000.0]}","{'12': 0.0021153008034623545, '21': 0.0031138132005973872, '25': 0.0013860755590749663, '27': 0.004398610734791866, '31': 0.0016380840487989826, '32': 0.0020550481640767247, '33': 0.001478153109874602, '39': 0.0014878523366260272, '89': 0.0021064837894181564, '90': 0.0034505669865634537, '103': 0.0017726883109738972, '99': 0.0017236942683974338, '73': 0.0036374434830701396, '92': 0.0017696037232506788, '54': 0.003201476960438793, '104': 0.0008389713027293036}",0.2260866673884048,16
P07384,P07384, Calpain-1 catalytic subunit,CAPN1,"{'12': [2985200000.0, 1672900000.0, 1491000000.0], '21': [1554400000.0, 1620800000.0, 1730100000.0], '25': [2020600000.0, 1683400000.0, 1528000000.0], '27': [752040000.0, 339430000.0, 1387700000.0], '31': [729550000.0, 586590000.0, 400030000.0], '32': [1059900000.0, 660610000.0, 934780000.0], '33': [758690000.0, 813320000.0, 611000000.0], '39': [544180000.0, 390180000.0, 501080000.0], '89': [1144800000.0, 893860000.0, 700230000.0], '90': [683810000.0, 2289200000.0, 364350000.0], '103': [638270000.0, 903620000.0, 552780000.0], '99': [504680000.0, 636660000.0, 564640000.0], '73': [1277900000.0, 1332400000.0, 1354800000.0], '92': [1179600000.0, 841040000.0, 946670000.0], '54': [386550000.0, 385590000.0, 605020000.0], '104': [389540000.0, 712290000.0, 842090000.0]}","{'12': 0.0032475660273131508, '21': 0.00044302142761483177, '25': 0.0011790005935662885, '27': 0.005217531834159545, '31': 0.0023584713864186913, '32': 0.001884000020845642, '33': 0.001174428561121683, '39': 0.0013557402327924431, '89': 0.0019934747011132446, '90': 0.007571052938254442, '103': 0.0021393150679389415, '99': 0.0009488189730552926, '73': 0.00024433030586129307, '92': 0.0014299403123816442, '54': 0.0022484264118071127, '104': 0.0029363549485775914}",0.2273217108926364,16
P18669;Q8N0Y7,P18669, Phosphoglycerate mutase 1,PGAM1,"{'12': [8988400000.0, 7597600000.0, 4961200000.0], '21': [4539100000.0, 4655700000.0, 4696100000.0], '25': [1613800000.0, 2750500000.0, 1733200000.0], '27': [1131700000.0, 460090000.0, 1043400000.0], '31': [2820300000.0, 2063700000.0, 1384700000.0], '32': [2297500000.0, 1946100000.0, 1893500000.0], '33': [1391700000.0, 2643800000.0, 2006100000.0], '39': [1739400000.0, 2547200000.0, 1790700000.0], '89': [2924400000.0, 4109000000.0, 1729800000.0], '90': [2949100000.0, 5205400000.0, 1202000000.0], '103': [3531600000.0, 4123300000.0, 2394600000.0], '99': [877750000.0, 1419300000.0, 1022300000.0], '73': [3283600000.0, 3776300000.0, 3297900000.0], '92': [4198500000.0, 4396000000.0, 3099900000.0], '54': [1080900000.0, 1530000000.0, 1268600000.0], '104': [1108500000.0, 2990400000.0, 2779900000.0]}","{'12': 0.0023252748855501215, '21': 0.0001437571087296397, '25': 0.002509408670900744, '27': 0.0033922718837562866, '31': 0.0028061635538942885, '32': 0.0008766669211206706, '33': 0.002538386446956323, '39': 0.0018230301213211578, '89': 0.0033251798173394094, '90': 0.005254471404549845, '103': 0.0021414411253277924, '99': 0.002069268103922967, '73': 0.0006631666068938485, '92': 0.001462664184145045, '54': 0.0014241428228683707, '104': 0.0036717952333160985}",0.2276693055662038,16
