Protein IDs,Majority protein IDs,Protein names,Gene names,Patient Measurements,Patient CVs,Average CV,Patient Count
P02768,P02768, Serum albumin,ALB,"{'12': [16661000000.0, 14533000000.0, 13228000000.0], '21': [9407700000.0, 36970000000.0, 20242000000.0], '25': [21400000000.0, 14732000000.0, 22358000000.0], '27': [4919200000.0, 2819200000.0, 8347200000.0], '31': [6916300000.0, 3891200000.0, 4373000000.0], '32': [2752500000.0, 3102400000.0, 4465900000.0], '33': [3923300000.0, 5855800000.0, 5346100000.0], '39': [7553700000.0, 6993800000.0, 5327900000.0], '89': [11764000000.0, 6584400000.0, 11914000000.0], '90': [10289000000.0, 6504700000.0, 5505900000.0], '103': [6533000000.0, 9668100000.0, 7824200000.0], '99': [3242100000.0, 4377700000.0, 3471900000.0], '73': [3186100000.0, 3179200000.0, 4050400000.0], '92': [10881000000.0, 6119700000.0, 5756800000.0], '54': [7542400000.0, 6527900000.0, 7308000000.0], '104': [8612900000.0, 10912000000.0, 11072000000.0]}","{'12': 0.0009555246653358125, '21': 0.0051055562419106285, '25': 0.0017396576237751124, '27': 0.004249266832092481, '31': 0.002622722494968487, '32': 0.002148572786147557, '33': 0.0016219990277835617, '39': 0.0014268895625245983, '89': 0.0024563144666336235, '90': 0.002771501576631112, '103': 0.0016064464580573408, '99': 0.0013259190106086483, '73': 0.0011782337389827074, '92': 0.0030777634353019007, '54': 0.0006085805438888864, '104': 0.0011015028332395588}",0.2124778206117626,16
P25788,P25788, Proteasome subunit alpha type-3,PSMA3,"{'12': [148120000.0, 111920000.0, 117810000.0], '21': [54509000.0, 84265000.0, 81944000.0], '25': [104460000.0, 86108000.0, 52664000.0], '27': [31203000.0, 15514000.0, 37104000.0], '31': [28828000.0, 30404000.0, 24755000.0], '32': [34160000.0, 40040000.0, 40478000.0], '33': [33683000.0, 64561000.0, 45772000.0], '39': [24873000.0, 19099000.0, 26325000.0], '89': [36461000.0, 66663000.0, 18607000.0], '90': [29261000.0, 43754000.0, 20750000.0], '103': [38443000.0, 40456000.0, 26177000.0], '99': [17303000.0, 22803000.0, 17458000.0], '73': [37943000.0, 45895000.0, 52882000.0], '92': [45486000.0, 66777000.0, 52718000.0], '54': [6444000.0, 7506700.0, 5967700.0], '104': [11176000.0, 48206000.0, 34483000.0]}","{'12': 0.001259222010217702, '21': 0.001836729604758869, '25': 0.002644727729566684, '27': 0.0032608811278304643, '31': 0.0008501708055074868, '32': 0.0007535842921679096, '33': 0.0026464607879631637, '39': 0.0013318951133814811, '89': 0.004887864581275323, '90': 0.003038424882240029, '103': 0.0018016835330926396, '99': 0.0013325902247189204, '73': 0.0013391737364118524, '92': 0.0016074047866207256, '54': 0.0009689291347138685, '104': 0.00488529675518681}",0.215281494410337,16
P47755,P47755, F-actin-capping protein subunit alpha-2,CAPZA2,"{'12': [57131000.0, 51477000.0, 44045000.0], '21': [29847000.0, 40873000.0, 46274000.0], '25': [27475000.0, 51839000.0, 37107000.0], '27': [17378000.0, 9493800.0, 10152000.0], '31': [14126000.0, 15233000.0, 17544000.0], '32': [14654000.0, 12800000.0, 15838000.0], '33': [12257000.0, 21423000.0, 11820000.0], '39': [13524000.0, 20773000.0, 15991000.0], '89': [24517000.0, 25281000.0, 13855000.0], '90': [15741000.0, 38371000.0, 7492300.0], '103': [20504000.0, 20762000.0, 18167000.0], '99': [6495200.0, 13697000.0, 9231400.0], '73': [27443000.0, 41834000.0, 40184000.0], '92': [28432000.0, 33126000.0, 32652000.0], '54': [12216000.0, 20819000.0, 17394000.0], '104': [9446800.0, 19474000.0, 17915000.0]}","{'12': 0.0010531235922069705, '21': 0.0017529348749959273, '25': 0.0025817342758630117, '27': 0.0028940552044134454, '31': 0.0009107887391400738, '32': 0.0008663991910794507, '33': 0.0029192252074994123, '39': 0.0017952243941663452, '89': 0.0024581054171694127, '90': 0.006357002683979942, '103': 0.0005891905887980306, '99': 0.0030263919199048288, '73': 0.001762395481859537, '92': 0.0006718848497862724, '54': 0.002103778209407932, '104': 0.0028219586777287102}",0.2160262081749956,16
Q13561,Q13561, Dynactin subunit 2,DCTN2,"{'12': [60940000.0, 109670000.0, 61755000.0], '21': [32592000.0, 48950000.0, 38826000.0], '25': [37407000.0, 39689000.0, 35401000.0], '27': [17364000.0, 9307200.0, 8278800.0], '31': [31974000.0, 24764000.0, 19968000.0], '32': [24455000.0, 14073000.0, 12551000.0], '33': [10134000.0, 16689000.0, 19753000.0], '39': [17643000.0, 25347000.0, 21054000.0], '89': [26336000.0, 25708000.0, 20062000.0], '90': [18301000.0, 31931000.0, 11944000.0], '103': [22654000.0, 19475000.0, 28969000.0], '99': [9166000.0, 17288000.0, 7294500.0], '73': [43284000.0, 46609000.0, 35271000.0], '92': [29633000.0, 35233000.0, 37138000.0], '54': [13424000.0, 15672000.0, 20710000.0], '104': [8297000.0, 16344000.0, 12914000.0]}","{'12': 0.002941304594919333, '21': 0.0016800413503797456, '25': 0.0004671529914267123, '27': 0.0034868349312618323, '31': 0.0019298401496124712, '32': 0.0031066480226870623, '33': 0.002584306096002323, '39': 0.0014764886319384026, '89': 0.0011737903895037347, '90': 0.0040229938861587, '103': 0.0016649250895124652, '99': 0.0038558895293282704, '73': 0.001140611150226656, '92': 0.0009368101769932358, '54': 0.0018349131494077473, '104': 0.0026337899098145216}",0.2183521253073325,16
P04792,P04792, Heat shock protein beta-1,HSPB1,"{'12': [2336200000.0, 2655800000.0, 1709700000.0], '21': [2356300000.0, 1890600000.0, 1883000000.0], '25': [2323200000.0, 2436600000.0, 1385300000.0], '27': [255010000.0, 134100000.0, 578070000.0], '31': [724840000.0, 1007100000.0, 343100000.0], '32': [727420000.0, 792320000.0, 753050000.0], '33': [361390000.0, 609500000.0, 597290000.0], '39': [421980000.0, 243390000.0, 360330000.0], '89': [1044000000.0, 635120000.0, 859630000.0], '90': [1426400000.0, 1567200000.0, 684150000.0], '103': [718670000.0, 749080000.0, 734570000.0], '99': [418830000.0, 375350000.0, 274460000.0], '73': [1164600000.0, 1182000000.0, 858580000.0], '92': [1361600000.0, 797010000.0, 873780000.0], '54': [563900000.0, 594710000.0, 887580000.0], '104': [381580000.0, 687320000.0, 683840000.0]}","{'12': 0.0017590719831772482, '21': 0.0010832778804214314, '25': 0.002300071627157219, '27': 0.005813028269422042, '31': 0.003933741980683526, '32': 0.00035229374038280644, '33': 0.0021845279271348354, '39': 0.0021662647581209894, '89': 0.001975686472473254, '90': 0.0031598832738601846, '103': 0.0001691736819069845, '99': 0.001697640420286767, '73': 0.0013902220054813196, '92': 0.0024735689155707145, '54': 0.0021385924980135943, '104': 0.0024529710574200986}",0.2190626030719563,16
Q9HC38,Q9HC38, Glyoxalase domain-containing protein 4,GLOD4,"{'12': [52639000.0, 70143000.0, 36453000.0], '21': [22452000.0, 47590000.0, 28553000.0], '25': [26806000.0, 38083000.0, 30043000.0], '27': [25794000.0, 16505000.0, 16259000.0], '31': [12211000.0, 8601100.0, 8418800.0], '32': [10305000.0, 9223100.0, 9038900.0], '33': [9330400.0, 21209000.0, 14622000.0], '39': [13292000.0, 13048000.0, 12327000.0], '89': [35880000.0, 48600000.0, 23325000.0], '90': [18555000.0, 17448000.0, 9029800.0], '103': [30404000.0, 16990000.0, 20270000.0], '99': [7164300.0, 18919000.0, 9175000.0], '73': [25848000.0, 51636000.0, 34877000.0], '92': [57691000.0, 57523000.0, 54568000.0], '54': [10900000.0, 15791000.0, 16615000.0], '104': [17664000.0, 34962000.0, 36212000.0]}","{'12': 0.00259190369112732, '21': 0.003257541510604879, '25': 0.0014982183474396742, '27': 0.002273641083508056, '31': 0.0017922250079046582, '32': 0.0005865311832476713, '33': 0.003227770182768515, '39': 0.0003178590267311876, '89': 0.00287144812357842, '90': 0.002833519625584606, '103': 0.0025314320974649035, '99': 0.004367778987527214, '73': 0.0028526983275011545, '92': 0.00025342601179077654, '54': 0.0017473724966805505, '104': 0.002858364772243178}",0.2241358154731422,16
P14618,P14618, Pyruvate kinase PKM,PKM,"{'12': [1251100000.0, 926220000.0, 677460000.0], '21': [1096400000.0, 937510000.0, 781160000.0], '25': [373330000.0, 442580000.0, 440910000.0], '27': [242560000.0, 104740000.0, 369260000.0], '31': [543510000.0, 610230000.0, 515630000.0], '32': [598880000.0, 486890000.0, 577960000.0], '33': [294700000.0, 546980000.0, 350450000.0], '39': [283570000.0, 310110000.0, 256890000.0], '89': [414200000.0, 488500000.0, 222600000.0], '90': [329770000.0, 1338100000.0, 212770000.0], '103': [215800000.0, 553160000.0, 268800000.0], '99': [151660000.0, 223260000.0, 159230000.0], '73': [466100000.0, 458120000.0, 442780000.0], '92': [419580000.0, 417410000.0, 358180000.0], '54': [129870000.0, 182200000.0, 164990000.0], '104': [181230000.0, 331740000.0, 300070000.0]}","{'12': 0.002468216324173559, '21': 0.001371520959598507, '25': 0.0007699991810324255, '27': 0.0045225092198328135, '31': 0.0007132718384563504, '32': 0.0008766637880022678, '33': 0.0027230142867997304, '39': 0.0007663213754398586, '89': 0.0029863710527247896, '90': 0.008058507174299078, '103': 0.004282192128576597, '99': 0.0018038376688514427, '73': 0.00021237260274583155, '92': 0.0007140380430371297, '54': 0.0013694323898189565, '104': 0.0023906413936883187}",0.2251806839192353,16
P0DMV9;P0DMV8,P0DMV9;P0DMV8, Heat shock 70 kDa protein 1B; Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,"{'12': [463060000.0, 655150000.0, 403710000.0], '21': [215220000.0, 489180000.0, 430890000.0], '25': [791320000.0, 593240000.0, 600460000.0], '27': [260070000.0, 160210000.0, 474760000.0], '31': [81270000.0, 96065000.0, 63843000.0], '32': [102530000.0, 71840000.0, 64793000.0], '33': [113440000.0, 160220000.0, 126430000.0], '39': [110450000.0, 104440000.0, 144940000.0], '89': [308720000.0, 374490000.0, 219770000.0], '90': [196720000.0, 234260000.0, 92078000.0], '103': [242080000.0, 165240000.0, 173970000.0], '99': [109340000.0, 167220000.0, 153720000.0], '73': [203540000.0, 535930000.0, 380480000.0], '92': [327750000.0, 497620000.0, 485120000.0], '54': [99626000.0, 120620000.0, 204550000.0], '104': [136990000.0, 162340000.0, 166430000.0]}","{'12': 0.0021153308243394174, '21': 0.0031137805424453465, '25': 0.0013862038250858284, '27': 0.004398768789766102, '31': 0.0016381091818194829, '32': 0.0020550390991033477, '33': 0.0014784490688221864, '39': 0.0014877687614648948, '89': 0.00210635992883361, '90': 0.00345057789601142, '103': 0.0017728036060594904, '99': 0.0017238771892258635, '73': 0.003637452186184619, '92': 0.0017695633868954914, '54': 0.003201366990065632, '104': 0.0008387339335280236}",0.2260886575603172,16
P07384,P07384, Calpain-1 catalytic subunit,CAPN1,"{'12': [82921000.0, 46469000.0, 41417000.0], '21': [43177000.0, 45023000.0, 48059000.0], '25': [56129000.0, 46761000.0, 42446000.0], '27': [20890000.0, 9428700.0, 38548000.0], '31': [20265000.0, 16294000.0, 11112000.0], '32': [29443000.0, 18350000.0, 25966000.0], '33': [21075000.0, 22592000.0, 16972000.0], '39': [15116000.0, 10838000.0, 13919000.0], '89': [31801000.0, 24829000.0, 19451000.0], '90': [18995000.0, 63589000.0, 10121000.0], '103': [17730000.0, 25101000.0, 15355000.0], '99': [14019000.0, 17685000.0, 15684000.0], '73': [35496000.0, 37012000.0, 37632000.0], '92': [32766000.0, 23362000.0, 26296000.0], '54': [10738000.0, 10711000.0, 16806000.0], '104': [10821000.0, 19786000.0, 23391000.0]}","{'12': 0.0032474891644027133, '21': 0.00044313575980893847, '25': 0.0011789819150443952, '27': 0.005217598623770293, '31': 0.0023584039810176137, '32': 0.001884211613178228, '33': 0.0011744617239003916, '39': 0.0013558468497201059, '89': 0.0019936037445670977, '90': 0.00757099309451155, '103': 0.0021393743856488122, '99': 0.0009488048435274295, '73': 0.00024438732540587417, '92': 0.0014298959206838502, '54': 0.00224822986561975, '104': 0.002936168027957643}",0.2273224177422793,16
P18669;Q8N0Y7,P18669, Phosphoglycerate mutase 1,PGAM1,"{'12': [691420000.0, 584430000.0, 381630000.0], '21': [349160000.0, 358130000.0, 361230000.0], '25': [124140000.0, 211580000.0, 133320000.0], '27': [87055000.0, 35392000.0, 80260000.0], '31': [216950000.0, 158750000.0, 106510000.0], '32': [176730000.0, 149700000.0, 145660000.0], '33': [107060000.0, 203370000.0, 154310000.0], '39': [133800000.0, 195940000.0, 137750000.0], '89': [224950000.0, 316080000.0, 133060000.0], '90': [226850000.0, 400420000.0, 92460000.0], '103': [271660000.0, 317180000.0, 184200000.0], '99': [67519000.0, 109180000.0, 78635000.0], '73': [252580000.0, 290490000.0, 253690000.0], '92': [322960000.0, 338150000.0, 238460000.0], '54': [83142000.0, 117690000.0, 97582000.0], '104': [85267000.0, 230030000.0, 213840000.0]}","{'12': 0.002325305699300026, '21': 0.000143697276659389, '25': 0.0025095043610512784, '27': 0.0033922449982288013, '31': 0.002806380240270749, '32': 0.0008765234295631561, '33': 0.002538239055959166, '39': 0.0018230032241018728, '89': 0.003325274823310879, '90': 0.00525458920716065, '103': 0.0021414747384955546, '99': 0.0020694966206872166, '73': 0.0006632541403823161, '92': 0.0014625208176519576, '54': 0.0014242588226132, '104': 0.003671869459417559}",0.227672730717836,16
